Ensembl	Gene
ENSG00000000003	TSPAN6
ENSG00000001036	FUCA2
ENSG00000001167	NFYA
ENSG00000002330	BAD
ENSG00000002549	LAP3
ENSG00000002834	LASP1
ENSG00000003056	M6PR
ENSG00000004059	ARF5
ENSG00000004142	POLDIP2
ENSG00000004478	FKBP4
ENSG00000004660	CAMKK1
ENSG00000004779	NDUFAB1
ENSG00000004961	HCCS
ENSG00000005007	UPF1
ENSG00000005022	SLC25A5
ENSG00000005075	POLR2J
ENSG00000005175	RPAP3
ENSG00000005194	CIAPIN1
ENSG00000005882	PDK2
ENSG00000005893	LAMP2
ENSG00000006007	GDE1
ENSG00000006015	REX1BD
ENSG00000006125	AP2B1
ENSG00000006327	TNFRSF12A
ENSG00000006712	PAF1
ENSG00000006744	ELAC2
ENSG00000006831	ADIPOR2
ENSG00000007080	CCDC124
ENSG00000007202	BLTP2
ENSG00000007255	TRAPPC6A
ENSG00000007376	RPUSD1
ENSG00000007402	CACNA2D2
ENSG00000007520	TSR3
ENSG00000008018	PSMB1
ENSG00000008130	NADK
ENSG00000008382	MPND
ENSG00000008394	MGST1
ENSG00000008710	PKD1
ENSG00000008838	MED24
ENSG00000008952	SEC62
ENSG00000008988	RPS20
ENSG00000009307	CSDE1
ENSG00000010165	METTL13
ENSG00000010256	UQCRC1
ENSG00000010278	CD9
ENSG00000010292	NCAPD2
ENSG00000011009	LYPLA2
ENSG00000011105	TSPAN9
ENSG00000011304	PTBP1
ENSG00000011426	ANLN
ENSG00000011451	WIZ
ENSG00000011485	PPP5C
ENSG00000012232	EXTL3
ENSG00000012822	CALCOCO1
ENSG00000013275	PSMC4
ENSG00000013306	SLC25A39
ENSG00000013375	PGM3
ENSG00000013503	POLR3B
ENSG00000013810	TACC3
ENSG00000014216	CAPN1
ENSG00000014641	MDH1
ENSG00000015475	BID
ENSG00000017797	RALBP1
ENSG00000018510	AGPS
ENSG00000018610	STEEP1
ENSG00000018699	TTC27
ENSG00000018869	ZNF582
ENSG00000020129	NCDN
ENSG00000022267	FHL1
ENSG00000022567	SLC45A4
ENSG00000022840	RNF10
ENSG00000023902	PLEKHO1
ENSG00000025770	NCAPH2
ENSG00000026025	VIM
ENSG00000028116	VRK2
ENSG00000028528	SNX1
ENSG00000029364	SLC39A9
ENSG00000029993	HMGB3
ENSG00000030110	BAK1
ENSG00000030582	GRN
ENSG00000031698	SARS1
ENSG00000031823	RANBP3
ENSG00000032389	EIPR1
ENSG00000032444	PNPLA6
ENSG00000033050	ABCF2
ENSG00000034152	MAP2K3
ENSG00000034510	TMSB10
ENSG00000035141	FAM136A
ENSG00000035403	VCL
ENSG00000035499	DEPDC1B
ENSG00000037241	RPL26L1
ENSG00000037474	NSUN2
ENSG00000037897	METTL1
ENSG00000038358	EDC4
ENSG00000040531	CTNS
ENSG00000041357	PSMA4
ENSG00000042753	AP2S1
ENSG00000043039	BARX2
ENSG00000044115	CTNNA1
ENSG00000044574	HSPA5
ENSG00000046774	MAGEC2
ENSG00000047579	DTNBP1
ENSG00000047849	MAP4
ENSG00000048140	TSPAN17
ENSG00000048162	NOP16
ENSG00000049245	VAMP3
ENSG00000049449	RCN1
ENSG00000049656	CLPTM1L
ENSG00000049860	HEXB
ENSG00000050393	MCUR1
ENSG00000050820	BCAR1
ENSG00000051108	HERPUD1
ENSG00000051523	CYBA
ENSG00000051596	THOC3
ENSG00000052723	SIKE1
ENSG00000052749	RRP12
ENSG00000053702	NRIP2
ENSG00000054116	TRAPPC3
ENSG00000054148	PHPT1
ENSG00000054967	RELT
ENSG00000054983	GALC
ENSG00000055070	SZRD1
ENSG00000055130	CUL1
ENSG00000057019	DCBLD2
ENSG00000057252	SOAT1
ENSG00000058262	SEC61A1
ENSG00000058600	POLR3E
ENSG00000058799	YIPF1
ENSG00000059145	UNKL
ENSG00000059573	ALDH18A1
ENSG00000059691	GATB
ENSG00000060138	YBX3
ENSG00000060971	ACAA1
ENSG00000061938	TNK2
ENSG00000062485	CS
ENSG00000062822	POLD1
ENSG00000063177	RPL18
ENSG00000063241	ISOC2
ENSG00000063244	U2AF2
ENSG00000063322	MED29
ENSG00000063587	ZNF275
ENSG00000063660	GPC1
ENSG00000064419	TNPO3
ENSG00000064490	RFXANK
ENSG00000064601	CTSA
ENSG00000064651	SLC12A2
ENSG00000064687	ABCA7
ENSG00000064961	HMG20B
ENSG00000065000	AP3D1
ENSG00000065057	NTHL1
ENSG00000065150	IPO5
ENSG00000065154	OAT
ENSG00000065268	WDR18
ENSG00000065320	NTN1
ENSG00000065427	KARS1
ENSG00000065485	PDIA5
ENSG00000065518	NDUFB4
ENSG00000065548	ZC3H15
ENSG00000065978	YBX1
ENSG00000066044	ELAVL1
ENSG00000066117	SMARCD1
ENSG00000066135	KDM4A
ENSG00000066322	ELOVL1
ENSG00000066583	ISOC1
ENSG00000066629	EML1
ENSG00000066697	MSANTD3
ENSG00000066855	MTFR1
ENSG00000067177	PHKA1
ENSG00000067225	PKM
ENSG00000067445	TRO
ENSG00000067829	IDH3G
ENSG00000067836	ROGDI
ENSG00000067955	CBFB
ENSG00000068001	HYAL2
ENSG00000068078	FGFR3
ENSG00000068308	OTUD5
ENSG00000068394	GPKOW
ENSG00000068400	GRIPAP1
ENSG00000068489	PRR11
ENSG00000068650	ATP11A
ENSG00000068697	LAPTM4A
ENSG00000068878	PSME4
ENSG00000068903	SIRT2
ENSG00000069011	PITX1
ENSG00000069275	NUCKS1
ENSG00000069329	VPS35
ENSG00000069482	GAL
ENSG00000069849	ATP1B3
ENSG00000069956	MAPK6
ENSG00000069966	GNB5
ENSG00000069998	HDHD5
ENSG00000070081	NUCB2
ENSG00000070367	EXOC5
ENSG00000070413	DGCR2
ENSG00000070610	GBA2
ENSG00000070614	NDST1
ENSG00000070761	CFAP20
ENSG00000071054	MAP4K4
ENSG00000071082	RPL31
ENSG00000071127	WDR1
ENSG00000071539	TRIP13
ENSG00000071553	ATP6AP1
ENSG00000071655	MBD3
ENSG00000071794	HLTF
ENSG00000071894	CPSF1
ENSG00000072042	RDH11
ENSG00000072062	PRKACA
ENSG00000072110	ACTN1
ENSG00000072210	ALDH3A2
ENSG00000072274	TFRC
ENSG00000072501	SMC1A
ENSG00000072506	HSD17B10
ENSG00000072518	MARK2
ENSG00000072571	HMMR
ENSG00000072609	CHFR
ENSG00000072682	P4HA2
ENSG00000072778	ACADVL
ENSG00000072786	STK10
ENSG00000073350	LLGL2
ENSG00000074696	HACD3
ENSG00000074800	ENO1
